Step #,Step Type,Start Time,End Time,Duration,Average:Dwell Temp/Ramp Rate,Peak:Dwell Temp/Ramp Rate
1,Ramp,11.0,56.0,45.0,1.8355555555555554,2.200000000000003
2,Dwell,55.0,296.0,241.0,110.80468750167648,114.3
3,Ramp,297.0,390.0,93.0,-2.3118279569892475,-4.700000000000003
4,Dwell,389.0,433.0,44.0,-116.07265737022288,-116.1
5,Ramp,434.0,488.0,54.0,4.162962962962963,7.0
6,Dwell,487.0,518.0,31.0,116.02182393223048,117.3
7,Ramp,519.0,545.0,26.0,-1.630769230769231,-2.3999999999999915
8,Dwell,544.0,895.0,351.0,18.482928478843466,67.5
9,Ramp,896.0,943.0,47.0,-2.5914893617021275,-4.5
10,Dwell,942.0,980.0,38.0,-115.7062952210137,-115.9
11,Ramp,981.0,1028.0,47.0,4.782978723404256,7.299999999999997
12,Dwell,1027.0,1074.0,47.0,117.06551618524702,118.4
13,Ramp,1075.0,1149.0,74.0,-3.0027027027027025,-5.0
14,Dwell,1148.0,1183.0,35.0,-117.00579199120402,-117.1
15,Ramp,1184.0,1230.0,46.0,4.9,7.400000000000006
16,Dwell,1229.0,1277.0,48.0,115.12175902139343,116.7
17,Ramp,1278.0,1354.0,76.0,-2.906578947368421,-5.100000000000001
18,Dwell,1353.0,1388.0,35.0,-116.82524770330637,-117.1
19,Ramp,1389.0,1434.0,45.0,4.993333333333333,7.399999999999999
20,Dwell,1433.0,2176.0,743.0,18.844140723347756,118.7
21,Ramp,2177.0,2225.0,48.0,-2.55625,-4.399999999999999
22,Dwell,2224.0,2261.0,37.0,-116.06423499614466,-116.3
23,Ramp,2262.0,2308.0,46.0,4.897826086956522,7.400000000000006
24,Dwell,2307.0,2356.0,49.0,115.00711095153531,117.3
25,Ramp,2357.0,2388.0,31.0,-0.25806451612903225,-2.4000000000000057
26,Dwell,2387.0,3061.0,674.0,21.963720667011472,113.0
27,Ramp,3062.0,3094.0,32.0,1.9406249999999998,2.5
